codice_fiscale,nome,cognome,veterinario,codice_albo
KAXJUP32M42L944Z,Zuzana,Grafham,y,7286246063
IKPIXP95B63A322L,Cristy,Wolfinger,y,9890663300
ZQNFVZ88N58P737Y,Jeno,Cabrera,y,2508391874
HOINOQ93M20S623A,Lewie,Geggus,y,3530794626
UBZOGR62T44A438F,Hillier,Gremain,y,5965517209
CRPRFQ00X25H955M,Thedric,Liveley,y,4170112466
SBFNFR02Y66Y686T,Jobina,Pietron,y,4457505192
DOXGCA67I93B435L,Micheal,Mattielli,y,3059240975
RLWBSX60B89K307G,Addi,McSweeney,y,2438455763
XKDHSE52X77W080Z,Mitchael,Duckit,y,9229990890
KUCTKZ61T24Y447T,Melissa,Malone,y,0216649180
RMUFCJ21P23Y875K,Xavier,Field,y,3995453675
AENIZK33V73S452W,Aubrie,Camlin,y,4715034554
YXVNEZ27G41S684L,Eryn,Wildman,y,6353834832
DZNPCP87G63Q961Q,Geordie,Belford,y,2743643321
VJJKWX04D16K852M,Manya,Balogun,y,3437533732
CBQNTJ86T75R285F,Effie,Bloss,y,3076096611
ZUSDBT27S18I066Q,Burnaby,Alfonsetto,y,2192470674
SDOZRQ24F16Z694M,Bette,Aggas,y,8016247556
QAKVXG09Q42R293C,Korie,Dorman,y,0074833581
HTIZLM98F82A499K,Querida,Savary,y,2574535348
UAYJOG77C56Q827R,Sharia,De Freitas,y,2308143446
OQMRLZ73Z10C877E,Norine,Masi,y,0166065353
RRSPAR95S04V869K,Judd,Balazin,y,0011774035
TDFCSH37D78G480U,Suzanna,Leglise,y,4788409076
LSXHKI99G45I261M,Kirbie,Katt,y,9494458561
QKPKQX43V87J697X,Erica,Bolderoe,y,5606062791
HCMNOI85R50S863N,Neysa,Galilee,y,2991833080
KVOXDR94O16L595F,Valle,Windaybank,y,2981774283
BASQCC79U17X832X,Lanie,Duckerin,y,9483488750
XUDUCK56J87E249D,Anica,Aldwick,y,0873151198
ZXSPCC42H10W293Q,Shirleen,Crayke,y,2996572441
RELZWK33P23V293V,Emmi,Sarll,y,7668116595
