"data","animale","specie","malattia","peso","dieta","veterinario"
"2022-05-15",1,"Great egret","",675935,"","CBFDND09F91H546K"
"2022-06-14",1,"Great egret","",675946,"","ZFOAKJ36I08K413L"
"2022-07-14",1,"Great egret","",675930,"","GTBBNJ43V27L642G"
"2022-08-06",1,"Great egret","BSE (bovine spongiform encephalopathy)",675942,"Solo mangime medico per 4 settimane","QENHBQ79P95H124I"
"2022-09-05",1,"Great egret","",675935,"","BPIZZN04U03S425U"
"2022-10-05",1,"Great egret","",675946,"","CBQNTJ86T75R285F"
"2022-10-24",1,"Great egret","Tubercolosi bovina",675944,"Alternare vegetali a mangime medico","SRCJIT69V69B232C"
"2022-11-23",1,"Great egret","",675946,"","ZFOAKJ36I08K413L"
"2022-12-23",1,"Great egret","",675932,"","TAKTMI77H14V676G"
"2023-01-22",1,"Great egret","",675931,"","DZNPCP87G63Q961Q"
"2023-02-21",1,"Great egret","",675930,"","OQMRLZ73Z10C877E"
"2023-03-23",1,"Great egret","",675932,"","TDFCSH37D78G480U"
"2023-04-22",1,"Great egret","",675929,"","QENHBQ79P95H124I"
"2023-05-22",1,"Great egret","",675932,"","BASQCC79U17X832X"
"2023-06-21",1,"Great egret","",675936,"","PIGYLO79S06Z799G"
"2023-07-21",1,"Great egret","",675938,"","QJESUE82Q82S026B"
"2021-11-04",1,"Western bearded dragon","",25222,"","MXWYXX83C31B873T"
"2021-12-04",1,"Western bearded dragon","",25220,"","FFNPLL70Q85Q417Y"
"2022-01-03",1,"Western bearded dragon","",25227,"","CFHACW39N88B188Y"
"2022-02-02",1,"Western bearded dragon","",25225,"","EURLCQ48T11L828X"
"2022-03-04",1,"Western bearded dragon","",25225,"","HTIZLM98F82A499K"
"2022-04-03",1,"Western bearded dragon","",25214,"","LXLDKR21X49J408B"
"2022-05-03",1,"Western bearded dragon","",25231,"","JWDPWX14W11D641Z"
"2022-06-02",1,"Western bearded dragon","",25230,"","YXVNEZ27G41S684L"
"2022-07-02",1,"Western bearded dragon","",25221,"","BXKXIK91F37M945W"
"2022-08-01",1,"Western bearded dragon","",25217,"","BJFCGM55W01H356I"
"2022-08-31",1,"Western bearded dragon","",25217,"","DMWBFI26H80R696J"
"2022-09-30",1,"Western bearded dragon","",25228,"","QKSBYE86N59G823A"
"2022-10-30",1,"Western bearded dragon","",25213,"","JSMTOX87J13M178N"
"2022-11-29",1,"Western bearded dragon","",25219,"","HKASFO52W74K212M"
"2022-12-29",1,"Western bearded dragon","",25227,"","QAKVXG09Q42R293C"
"2023-01-28",1,"Western bearded dragon","",25222,"","VJJKWX04D16K852M"
"2023-02-27",1,"Western bearded dragon","",25224,"","AZVQRE05Q26F968B"
"2023-03-29",1,"Western bearded dragon","",25230,"","LXLDKR21X49J408B"
"2023-04-28",1,"Western bearded dragon","",25214,"","RELZWK33P23V293V"
"2023-05-28",1,"Western bearded dragon","",25229,"","BASQCC79U17X832X"
"2021-08-09",1,"Greater sage grouse","",437821,"","AENIZK33V73S452W"
"2021-08-12",1,"Greater sage grouse","Encefalopatie spongiformi trasmissibili",437826,"Alternare carne nelle settimane dispari e verdure nelle settimane pari","EURLCQ48T11L828X"
"2021-09-11",1,"Greater sage grouse","",437817,"","SRCJIT69V69B232C"
"2021-09-21",1,"Greater sage grouse","Encefalopatie spongiformi trasmissibili",437823,"Mangime a base di Vegetali per 1 mese","KDIHSK05G77B383M"
"2021-10-21",1,"Greater sage grouse","",437817,"","HCMNOI85R50S863N"
"2021-11-20",1,"Greater sage grouse","",437821,"","DKKRNI12W38H575K"
"2021-12-20",1,"Greater sage grouse","",437816,"","TDFCSH37D78G480U"
"2022-01-19",1,"Greater sage grouse","",437825,"","AZVQRE05Q26F968B"
"2022-02-18",1,"Greater sage grouse","",437819,"","RRSPAR95S04V869K"
"2022-03-20",1,"Greater sage grouse","Paratubercolosi o Johne's Disease",437815,"Solo mangime medico per 4 settimane","EURLCQ48T11L828X"
"2022-04-19",1,"Greater sage grouse","",437820,"","SFPKPJ09U63O240C"
"2022-05-19",1,"Greater sage grouse","",437820,"","QKSBYE86N59G823A"
"2021-05-23",1,"Coot red-knobbed","",845451,"","TXIJSS76W27X542H"
"2021-06-22",1,"Coot red-knobbed","",845449,"","VWVRAA05P61R641G"
"2021-07-22",1,"Coot red-knobbed","",845446,"","LSXHKI99G45I261M"
"2021-08-21",1,"Coot red-knobbed","",845447,"","JSMTOX87J13M178N"
"2021-09-20",1,"Coot red-knobbed","",845451,"","HFTZLR42P54I038D"
"2021-10-20",1,"Coot red-knobbed","",845450,"","UBZOGR62T44A438F"
"2021-11-19",1,"Coot red-knobbed","",845455,"","DBEFQA23Q80X119K"
"2021-12-19",1,"Coot red-knobbed","Rabbia",845451,"Mangime a base di Vegetali per 1 mese","PNJORE64G35W983Z"
"2022-01-18",1,"Coot red-knobbed","",845456,"","AZVQRE05Q26F968B"
"2022-01-31",1,"Coot red-knobbed","Malattia di Newcastle",845446,"Dieta liquida per 1 mese e poi risentire il Veterinario Curante","UEESQB52D01C783S"
"2022-03-02",1,"Coot red-knobbed","",845453,"","UAYJOG77C56Q827R"
"2022-04-01",1,"Coot red-knobbed","",845459,"","MCZSYA79M27W095Y"
"2022-05-01",1,"Coot red-knobbed","",845460,"","FFNPLL70Q85Q417Y"
"2022-05-31",1,"Coot red-knobbed","",845455,"","KDIHSK05G77B383M"
"2022-06-30",1,"Coot red-knobbed","",845459,"","IMIZZV64U93B294I"
"2022-07-30",1,"Coot red-knobbed","",845446,"","CBFDND09F91H546K"
"2022-08-29",1,"Coot red-knobbed","",845456,"","QKPKQX43V87J697X"
"2022-09-28",1,"Coot red-knobbed","",845454,"","QKPKQX43V87J697X"
"2022-10-18",1,"Coot red-knobbed","West nile disease",845459,"Solo mangime medico per 4 settimane","VWVRAA05P61R641G"
"2022-11-17",1,"Coot red-knobbed","",845457,"","KAXJUP32M42L944Z"
"2022-12-17",1,"Coot red-knobbed","",845442,"","MJJYOH26B81U169C"
"2021-04-11",1,"Lizard desert spiny","",716519,"","BASQCC79U17X832X"
"2021-05-11",1,"Lizard desert spiny","",716521,"","BJFCGM55W01H356I"
"2021-06-10",1,"Lizard desert spiny","",716526,"","DGNSAO74I34G132X"
"2021-07-10",1,"Lizard desert spiny","",716514,"","BENAZV35V84G728Y"
"2021-08-06",1,"Lizard desert spiny","Leucosi bovina enzootica",716518,"Alternare carne nelle settimane dispari e verdure nelle settimane pari","HCMNOI85R50S863N"
"2021-09-05",1,"Lizard desert spiny","",716517,"","QKSBYE86N59G823A"
"2021-10-05",1,"Lizard desert spiny","",716520,"","YXVNEZ27G41S684L"
"2021-11-04",1,"Lizard desert spiny","",716516,"","SFFKVE90Y79P278X"
"2021-12-04",1,"Lizard desert spiny","",716510,"","AENIZK33V73S452W"
"2022-01-03",1,"Lizard desert spiny","",716515,"","GRWXVM07K57A727R"
"2022-02-02",1,"Lizard desert spiny","Trichinella",716515,"Dieta liquida per 1 mese e poi risentire il Veterinario Curante","SBFNFR02Y66Y686T"
"2022-03-04",1,"Lizard desert spiny","",716519,"","DGNSAO74I34G132X"
"2022-04-03",1,"Lizard desert spiny","",716510,"","HFTZLR42P54I038D"
"2022-05-03",1,"Lizard desert spiny","Malattia emorragica virale del coniglio (MEV/RHD)",716513,"No carne per 2 mesi","RZXHMF06C91C657B"
"2022-06-02",1,"Lizard desert spiny","",716528,"","HTIZLM98F82A499K"
"2022-07-02",1,"Lizard desert spiny","",716513,"","IKPIXP95B63A322L"
"2022-08-01",1,"Lizard desert spiny","Leishmania",716514,"Solo mangime medico per 4 settimane","XKDHSE52X77W080Z"
"2022-08-25",1,"Lizard desert spiny","Peste suina africana",716514,"No mangime per i prossimi 2 mesi solo Vegetali","ZQNFVZ88N58P737Y"
"2022-09-24",1,"Lizard desert spiny","",716524,"","GTRNQS12W82G871H"
"2022-09-26",1,"Lizard desert spiny","Tubercolosi bovina",716510,"Mangime a base di Vegetali per 1 mese","DISLRN11Y28S991O"
"2022-10-26",1,"Lizard desert spiny","",716527,"","ZUSDBT27S18I066Q"
"2022-11-25",1,"Lizard desert spiny","",716522,"","ZUSDBT27S18I066Q"
"2022-12-25",1,"Lizard desert spiny","Rinotracheite infettiva del bovino (IBR)",716525,"Mangime a base di Vegetali per 1 mese","MJJYOH26B81U169C"
"2023-01-24",1,"Lizard desert spiny","",716523,"","RZXHMF06C91C657B"
"2023-02-23",1,"Lizard desert spiny","",716527,"","AENIZK33V73S452W"
"2023-03-25",1,"Lizard desert spiny","Trichinella",716526,"No mangime per i prossimi 2 mesi solo Vegetali","CSURHY42I31P326H"
"2023-04-24",1,"Lizard desert spiny","",716528,"","XKDHSE52X77W080Z"
"2023-05-24",1,"Lizard desert spiny","",716517,"","DZNPCP87G63Q961Q"
"2023-06-23",1,"Lizard desert spiny","",716515,"","HCMNOI85R50S863N"
"2023-07-23",1,"Lizard desert spiny","",716511,"","GTBBNJ43V27L642G"
"2021-06-09",1,"Dragon ornate rock","",172538,"","PTLZUN37T49S915U"
"2021-07-09",1,"Dragon ornate rock","",172533,"","ZQNFVZ88N58P737Y"
"2021-07-25",1,"Dragon ornate rock","Paratubercolosi o Johne's Disease",172539,"Mangime a base di Vegetali per 1 mese","RZXHMF06C91C657B"
"2021-08-24",1,"Dragon ornate rock","",172529,"","LSXHKI99G45I261M"
"2021-09-23",1,"Dragon ornate rock","",172543,"","PNJORE64G35W983Z"
"2021-10-15",1,"Dragon ornate rock","Rabbia",172530,"Mangime a base di Vegetali per 1 mese","VWGGON61Q76R110T"
"2021-11-14",1,"Dragon ornate rock","",172543,"","AZVQRE05Q26F968B"
"2021-12-14",1,"Dragon ornate rock","",172536,"","HUWCCJ71H63A894K"
"2022-01-13",1,"Dragon ornate rock","",172536,"","DMWBFI26H80R696J"
"2022-02-12",1,"Dragon ornate rock","",172529,"","GRWXVM07K57A727R"
"2022-03-14",1,"Dragon ornate rock","",172532,"","TDFCSH37D78G480U"
"2022-04-13",1,"Dragon ornate rock","",172532,"","ZUSDBT27S18I066Q"
"2022-05-13",1,"Dragon ornate rock","",172542,"","PIGYLO79S06Z799G"
"2022-06-12",1,"Dragon ornate rock","",172542,"","BENAZV35V84G728Y"
"2022-07-12",1,"Dragon ornate rock","",172535,"","QKSBYE86N59G823A"
"2022-08-11",1,"Dragon ornate rock","",172545,"","IQCTNU06Z63Q898C"
"2022-09-10",1,"Dragon ornate rock","Paratubercolosi o Johne's Disease",172532,"Alternare carne nelle settimane dispari e verdure nelle settimane pari","UEESQB52D01C783S"
"2022-09-23",1,"Dragon ornate rock","Malattia di Newcastle",172538,"Solo mangime medico per 4 settimane","IQCTNU06Z63Q898C"
"2022-10-23",1,"Dragon ornate rock","",172545,"","BJKQKC10K57B486P"
"2022-11-22",1,"Dragon ornate rock","",172543,"","CFHACW39N88B188Y"
"2022-12-22",1,"Dragon ornate rock","",172545,"","IKPIXP95B63A322L"
"2021-05-24",1,"King cormorant","",99844,"","QAKVXG09Q42R293C"
"2021-06-23",1,"King cormorant","",99836,"","AENIZK33V73S452W"
"2021-07-23",1,"King cormorant","",99848,"","IKPIXP95B63A322L"
"2021-08-22",1,"King cormorant","",99835,"","DBEFQA23Q80X119K"
"2021-09-21",1,"King cormorant","",99846,"","LXLDKR21X49J408B"
"2021-10-21",1,"King cormorant","",99846,"","HODKWJ04P69L937F"
"2021-11-20",1,"King cormorant","",99852,"","IMIZZV64U93B294I"
"2021-12-20",1,"King cormorant","",99837,"","WZANMN50R81D594P"
"2022-01-19",1,"King cormorant","",99845,"","TAKTMI77H14V676G"
"2022-02-18",1,"King cormorant","",99853,"","IMIZZV64U93B294I"
"2022-03-20",1,"King cormorant","",99844,"","MCZSYA79M27W095Y"
"2022-04-19",1,"King cormorant","",99853,"","GQNGLA85E82M951E"
"2022-05-19",1,"King cormorant","",99842,"","HXOPFS49O09L860N"
"2022-05-22",1,"King cormorant","Paratubercolosi o Johne's Disease",99837,"No mangime per i prossimi 2 mesi solo Vegetali","SFPKPJ09U63O240C"
"2022-06-21",1,"King cormorant","",99839,"","OILQPX59S83T716L"
"2022-07-21",1,"King cormorant","",99848,"","BJKQKC10K57B486P"
"2022-08-20",1,"King cormorant","",99840,"","QKPKQX43V87J697X"
"2022-09-19",1,"King cormorant","",99840,"","DKKRNI12W38H575K"
"2022-10-19",1,"King cormorant","",99850,"","DZNPCP87G63Q961Q"
"2022-11-18",1,"King cormorant","",99853,"","AENIZK33V73S452W"
"2022-12-18",1,"King cormorant","Scrapie",99845,"No carne per 2 mesi","ZXSPCC42H10W293Q"
"2023-01-17",1,"King cormorant","",99838,"","BXKXIK91F37M945W"
"2023-02-16",1,"King cormorant","Leishmania",99853,"No carne per 2 mesi","HLZDCY93J51K599T"
"2023-03-18",1,"King cormorant","",99845,"","HXOPFS49O09L860N"
"2023-04-17",1,"King cormorant","",99847,"","OQMRLZ73Z10C877E"
"2021-04-14",1,"American alligator","",484975,"","HTIZLM98F82A499K"
"2021-05-14",1,"American alligator","",484978,"","VJJKWX04D16K852M"
"2021-06-13",1,"American alligator","",484983,"","GTRNQS12W82G871H"
"2021-07-13",1,"American alligator","",484980,"","SDOZRQ24F16Z694M"
"2021-08-12",1,"American alligator","",484972,"","HUWCCJ71H63A894K"
"2021-09-11",1,"American alligator","",484976,"","HOINOQ93M20S623A"
"2021-10-11",1,"American alligator","",484976,"","GTRNQS12W82G871H"
"2021-11-10",1,"American alligator","",484974,"","KDIHSK05G77B383M"
"2021-12-10",1,"American alligator","",484984,"","VWGGON61Q76R110T"
"2022-01-09",1,"American alligator","",484969,"","OILQPX59S83T716L"
"2022-02-08",1,"American alligator","",484983,"","AENIZK33V73S452W"
"2022-03-10",1,"American alligator","",484982,"","PIGYLO79S06Z799G"
"2022-04-09",1,"American alligator","Salmonellosi aviarie non tifoidee",484984,"No mangime per i prossimi 2 mesi solo Vegetali","OJUKSG65F46U287A"
"2021-05-25",1,"Australian magpie","",435294,"","PIGYLO79S06Z799G"
"2021-06-24",1,"Australian magpie","",435292,"","RMUFCJ21P23Y875K"
"2021-07-24",1,"Australian magpie","",435296,"","ZUSDBT27S18I066Q"
"2021-08-23",1,"Australian magpie","",435292,"","BIBFLF29M44P727K"
"2021-09-22",1,"Australian magpie","Rabbia",435296,"No mangime per i prossimi 2 mesi solo Vegetali","BJFCGM55W01H356I"
"2021-10-22",1,"Australian magpie","",435296,"","BENAZV35V84G728Y"
"2021-11-21",1,"Australian magpie","",435288,"","RLWBSX60B89K307G"
"2021-12-21",1,"Australian magpie","",435303,"","BASQCC79U17X832X"
"2022-01-20",1,"Australian magpie","",435287,"","RLWBSX60B89K307G"
"2022-02-19",1,"Australian magpie","",435290,"","OPFLBG35E28T343X"
"2022-03-21",1,"Australian magpie","",435297,"","HUWCCJ71H63A894K"
"2022-04-20",1,"Australian magpie","",435296,"","OVLOWK98S40H989D"
"2022-05-09",1,"Australian magpie","Tubercolosi bovina",435291,"No carne per 2 mesi","HIJOOR58D37G603M"
"2022-06-08",1,"Australian magpie","",435299,"","FFNPLL70Q85Q417Y"
